"SK_ID_CURR","TARGET","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_CAR","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","DAYS_BIRTH","DAYS_EMPLOYED","OCCUPATION_TYPE","ORGANIZATION_TYPE","AMT_REQ_CREDIT_BUREAU_MON","NAME_TYPE_SUITE"
1411,0,"Cash loans","M","N",0,112500,640080,24259.5,450000,"Working","Secondary / secondary special","Separated","House / apartment",-13164,-1797,"Laborers","Business Entity Type 3",0,"Unaccompanied"
1412,0,"Cash loans","M","N",0,121500,787131,41935.5,679500,"Working","Secondary / secondary special","Separated","House / apartment",-19458,-215,"Security staff","Other",NA,"Unaccompanied"
1413,0,"Cash loans","F","Y",0,202500,1350000,35743.5,1350000,"Commercial associate","Higher education","Civil marriage","House / apartment",-16069,-340,"Accountants","Kindergarten",NA,"Unaccompanied"
1414,0,"Cash loans","M","Y",0,54000,269550,10534.5,225000,"Pensioner","Secondary / secondary special","Married","House / apartment",-22466,365243,"","XNA",0,"Unaccompanied"
1415,0,"Cash loans","F","N",0,107100,755190,33394.5,675000,"Pensioner","Secondary / secondary special","Separated","House / apartment",-22202,365243,"","XNA",0,"Unaccompanied"
1416,0,"Cash loans","F","Y",0,126000,970380,27940.5,810000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15393,-220,"Core staff","Kindergarten",0,"Family"
1417,0,"Cash loans","F","Y",0,130500,261000,13905,261000,"Working","Higher education","Single / not married","House / apartment",-8703,-205,"High skill tech staff","Business Entity Type 3",1,"Unaccompanied"
1418,0,"Cash loans","M","Y",1,99000,327024,15241.5,270000,"Working","Secondary / secondary special","Married","House / apartment",-12754,-300,"Drivers","Business Entity Type 3",0,"Unaccompanied"
1419,0,"Cash loans","M","Y",2,180000,254700,20250,225000,"Working","Higher education","Married","House / apartment",-16708,-1895,"Laborers","Industry: type 1",0,"Unaccompanied"
1420,0,"Cash loans","F","N",1,90000,824823,26739,688500,"Working","Higher education","Married","House / apartment",-12383,-5140,"Core staff","Medicine",NA,"Family"
1421,0,"Cash loans","F","N",0,135000,634500,32526,634500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20503,365243,"","XNA",0,"Unaccompanied"
1422,0,"Cash loans","M","Y",0,225000,1149066,38106,940500,"Working","Secondary / secondary special","Married","House / apartment",-18101,-4465,"Drivers","Business Entity Type 3",0,"Spouse, partner"
1423,1,"Revolving loans","F","N",0,144000,315000,15750,315000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23621,365243,"","XNA",0,"Family"
1424,0,"Cash loans","F","Y",0,135000,1024636.5,33993,918000,"Pensioner","Secondary / secondary special","Married","Municipal apartment",-20531,365243,"","XNA",NA,"Unaccompanied"
1425,1,"Cash loans","M","Y",2,202500,755190,38556,675000,"Working","Secondary / secondary special","Married","House / apartment",-10953,-1351,"Sales staff","Business Entity Type 3",0,"Unaccompanied"
1426,0,"Cash loans","F","Y",0,112500,675000,19737,675000,"Working","Secondary / secondary special","Married","House / apartment",-20193,-7507,"Laborers","Business Entity Type 2",0,"Unaccompanied"
1427,0,"Cash loans","F","N",0,292500,723996,30802.5,585000,"Working","Secondary / secondary special","Married","House / apartment",-14110,-1420,"Medicine staff","Medicine",0,"Unaccompanied"
1428,0,"Cash loans","F","Y",0,112500,640080,31131,450000,"Working","Secondary / secondary special","Married","House / apartment",-10166,-1592,"Laborers","Self-employed",0,"Unaccompanied"
1429,0,"Cash loans","M","Y",2,697500,1012653,43033.5,931500,"Commercial associate","Higher education","Separated","House / apartment",-14184,-5295,"Sales staff","Self-employed",0,"Family"
1430,0,"Cash loans","M","N",0,180000,1078200,34911,9e+05,"Working","Secondary / secondary special","Separated","House / apartment",-18590,-5315,"","Business Entity Type 2",0,"Unaccompanied"
1431,0,"Cash loans","F","N",0,67500,450000,16164,450000,"State servant","Secondary / secondary special","Married","House / apartment",-19755,-4147,"","School",0,"Unaccompanied"
1432,0,"Cash loans","F","N",1,112500,161730,13095,135000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-16039,-1518,"Laborers","Business Entity Type 3",0,"Family"
1433,0,"Cash loans","M","N",1,202500,675000,26284.5,675000,"Commercial associate","Incomplete higher","Married","House / apartment",-15066,-1727,"High skill tech staff","Business Entity Type 3",1,"Family"
1434,0,"Cash loans","F","N",1,112500,679500,19867.5,679500,"Working","Secondary / secondary special","Married","House / apartment",-15137,-833,"Sales staff","Self-employed",0,"Unaccompanied"
1435,0,"Cash loans","F","N",0,202500,807984,31576.5,697500,"Working","Secondary / secondary special","Married","House / apartment",-13476,-1956,"Sales staff","Business Entity Type 1",NA,"Unaccompanied"
1436,0,"Cash loans","F","N",0,135000,256500,18715.5,256500,"Working","Secondary / secondary special","Married","House / apartment",-12321,-2299,"Sales staff","Business Entity Type 3",0,"Unaccompanied"
1437,0,"Cash loans","F","N",1,157500,495351,52146,459000,"Commercial associate","Higher education","Married","House / apartment",-16260,-1304,"","School",0,"Unaccompanied"
1438,0,"Cash loans","F","Y",0,112500,728460,40806,675000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-19360,-1932,"Laborers","Business Entity Type 3",0,"Family"
1439,0,"Cash loans","M","Y",0,225000,675000,25708.5,675000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-10087,-3278,"Managers","Trade: type 2",0,"Spouse, partner"
1440,0,"Cash loans","F","N",2,90000,536917.5,22702.5,463500,"Working","Secondary / secondary special","Married","House / apartment",-13271,-3662,"Cooking staff","School",0,"Unaccompanied"
1441,0,"Cash loans","F","Y",0,175500,824823,24246,688500,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-21683,365243,"","XNA",0,"Unaccompanied"
1442,0,"Cash loans","M","Y",0,135000,781920,42547.5,675000,"Working","Secondary / secondary special","Married","House / apartment",-8897,-1457,"Drivers","Business Entity Type 3",NA,"Unaccompanied"
1443,0,"Cash loans","F","N",0,144000,536917.5,27544.5,463500,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-14131,-188,"Private service staff","Services",0,"Unaccompanied"
1444,0,"Cash loans","M","N",0,99000,152820,16587,135000,"Working","Secondary / secondary special","Single / not married","Rented apartment",-10103,-270,"Laborers","Industry: type 4",0,"Unaccompanied"
1445,0,"Cash loans","F","N",0,86400,226422,9720,189000,"Pensioner","Lower secondary","Separated","House / apartment",-21630,365243,"","XNA",0,"Family"
1446,0,"Cash loans","M","N",0,324000,1113840,50332.5,9e+05,"Working","Secondary / secondary special","Married","House / apartment",-16284,-559,"Laborers","Self-employed",NA,"Unaccompanied"
1447,0,"Cash loans","F","N",0,112500,102429,6318,85500,"Working","Secondary / secondary special","Single / not married","House / apartment",-20022,-683,"Waiters/barmen staff","Restaurant",NA,"Children"
1448,0,"Cash loans","M","Y",3,360000,1800000,49630.5,1800000,"Working","Secondary / secondary special","Married","House / apartment",-15160,-2577,"Sales staff","Business Entity Type 3",0,"Family"
1449,0,"Cash loans","F","N",0,112500,538704,27634.5,481500,"Working","Secondary / secondary special","Married","Office apartment",-18243,-4658,"Core staff","Agriculture",0,"Family"
1450,0,"Cash loans","M","N",1,112500,573408,32148,495000,"Working","Secondary / secondary special","Separated","House / apartment",-14039,-127,"","Business Entity Type 1",0,"Unaccompanied"
1451,0,"Cash loans","M","N",0,270000,720000,21181.5,720000,"State servant","Higher education","Single / not married","House / apartment",-17087,-3817,"Core staff","Security Ministries",0,"Unaccompanied"
1452,0,"Cash loans","M","N",0,135000,640080,29970,450000,"Working","Higher education","Married","With parents",-12721,-805,"Laborers","Construction",1,"Unaccompanied"
1453,0,"Cash loans","M","Y",0,157500,1485000,55161,1485000,"Working","Secondary / secondary special","Married","House / apartment",-12667,-3616,"","Transport: type 4",0,"Unaccompanied"
1454,0,"Cash loans","F","N",0,157500,254700,26226,225000,"Working","Secondary / secondary special","Single / not married","House / apartment",-23967,-4305,"","Restaurant",0,"Unaccompanied"
1455,0,"Cash loans","F","N",0,126000,360000,26325,360000,"Pensioner","Secondary / secondary special","Married","House / apartment",-21319,365243,"","XNA",1,"Unaccompanied"
1456,1,"Cash loans","F","N",1,67500,215640,14584.5,180000,"State servant","Higher education","Married","House / apartment",-12829,-1433,"Core staff","Kindergarten",2,"Unaccompanied"
1457,0,"Cash loans","F","N",0,157500,992556,29151,711000,"Working","Secondary / secondary special","Single / not married","House / apartment",-18199,-4263,"Laborers","Business Entity Type 2",0,"Unaccompanied"
1458,0,"Cash loans","F","Y",0,85500,81504,8068.5,72000,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-20805,365243,"","XNA",1,"Unaccompanied"
1459,0,"Cash loans","F","N",2,270000,738171,73885.5,684000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-13151,-503,"Private service staff","Services",1,"Unaccompanied"
1460,0,"Cash loans","F","N",0,54000,157500,5935.5,157500,"Pensioner","Secondary / secondary special","Widow","House / apartment",-23042,365243,"","XNA",1,"Unaccompanied"
1461,0,"Cash loans","M","Y",0,180000,675000,26770.5,675000,"Working","Secondary / secondary special","Married","House / apartment",-18048,-7959,"Drivers","Other",0,"Unaccompanied"
1462,0,"Cash loans","F","N",0,121500,942300,30528,675000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14898,-7015,"Core staff","Medicine",1,"Unaccompanied"
1463,0,"Cash loans","M","Y",0,157500,166500,15399,166500,"Commercial associate","Secondary / secondary special","Married","Municipal apartment",-18721,-289,"Laborers","Business Entity Type 3",0,"Unaccompanied"
1464,0,"Cash loans","M","Y",0,292500,1288350,41562,1125000,"Working","Secondary / secondary special","Married","House / apartment",-17771,-1269,"Laborers","Business Entity Type 3",3,"Unaccompanied"
1465,0,"Cash loans","F","Y",0,157500,1546020,40783.5,1350000,"Working","Higher education","Civil marriage","House / apartment",-12324,-319,"Accountants","Business Entity Type 3",0,"Unaccompanied"
1466,0,"Cash loans","F","Y",3,270000,1762110,48586.5,1575000,"Commercial associate","Higher education","Married","House / apartment",-11262,-1348,"Accountants","Business Entity Type 3",1,"Unaccompanied"
1467,0,"Cash loans","M","Y",0,180000,315000,20506.5,315000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-11489,-2785,"Drivers","Business Entity Type 3",5,"Unaccompanied"
1468,0,"Cash loans","F","Y",1,180000,545040,39627,450000,"Working","Secondary / secondary special","Married","House / apartment",-10803,-1494,"Medicine staff","Medicine",0,"Unaccompanied"
1469,0,"Cash loans","M","Y",0,112500,1460691,54261,1363500,"Pensioner","Secondary / secondary special","Married","House / apartment",-23474,365243,"","XNA",NA,"Family"
1470,0,"Cash loans","M","Y",0,135000,165915,12204,126000,"Commercial associate","Higher education","Married","With parents",-10572,-1500,"","Business Entity Type 3",0,"Unaccompanied"
1471,0,"Cash loans","M","Y",1,157500,808650,21460.5,675000,"Working","Secondary / secondary special","Married","House / apartment",-15478,-3406,"","Business Entity Type 3",0,"Unaccompanied"
1472,0,"Cash loans","M","N",1,180000,119925,14359.5,112500,"Working","Secondary / secondary special","Married","House / apartment",-11485,-2446,"Laborers","Business Entity Type 2",1,"Family"
1473,0,"Cash loans","F","N",0,126000,593010,19260,495000,"Pensioner","Secondary / secondary special","Married","House / apartment",-22744,365243,"","XNA",0,"Unaccompanied"
1474,0,"Cash loans","F","N",2,81000,1035832.5,30415.5,904500,"Working","Higher education","Married","With parents",-11424,-1563,"","Medicine",0,"Unaccompanied"
1475,0,"Cash loans","F","N",0,157500,165024,8154,108000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-11293,-1911,"","Business Entity Type 3",1,"Unaccompanied"
1476,1,"Cash loans","F","N",0,337500,1321020,35554.5,1125000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-17559,-3458,"Security staff","Business Entity Type 2",0,"Unaccompanied"
1477,0,"Cash loans","F","N",1,135000,808650,21460.5,675000,"Commercial associate","Higher education","Married","House / apartment",-19764,-11461,"Core staff","Kindergarten",0,"Children"
1478,0,"Cash loans","F","Y",0,112500,517500,22923,517500,"Pensioner","Secondary / secondary special","Widow","Municipal apartment",-21247,365243,"","XNA",0,"Unaccompanied"
1479,0,"Cash loans","F","Y",0,180000,848745,46044,675000,"Working","Secondary / secondary special","Married","House / apartment",-10389,-232,"","Business Entity Type 3",0,"Unaccompanied"
1480,0,"Cash loans","F","N",2,135000,592560,40216.5,450000,"Working","Secondary / secondary special","Married","House / apartment",-10881,-2299,"Sales staff","Trade: type 7",1,"Unaccompanied"
1481,0,"Cash loans","F","N",0,135000,540360,14382,427500,"Working","Higher education","Married","House / apartment",-15038,-3330,"Sales staff","Self-employed",0,"Unaccompanied"
1482,0,"Cash loans","F","N",0,180000,625536,20803.5,540000,"Commercial associate","Higher education","Civil marriage","House / apartment",-15962,-218,"Managers","Trade: type 7",0,"Unaccompanied"
1483,0,"Cash loans","F","N",0,81000,454500,14661,454500,"Pensioner","Secondary / secondary special","Married","House / apartment",-23291,365243,"","XNA",0,"Family"
1484,0,"Cash loans","F","N",0,67500,315000,13473,315000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21855,365243,"","XNA",2,"Unaccompanied"
1485,0,"Cash loans","F","N",1,675000,1971072,68643,1800000,"Commercial associate","Higher education","Married","House / apartment",-15944,-1467,"","Business Entity Type 1",1,"Unaccompanied"
1486,0,"Cash loans","F","N",2,85500,177489,21060,166500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-11024,-1663,"Laborers","Business Entity Type 2",NA,"Children"
1487,0,"Cash loans","M","Y",0,162000,685386,50004,585000,"Working","Secondary / secondary special","Married","House / apartment",-13792,-356,"Laborers","Business Entity Type 3",0,"Unaccompanied"
1488,0,"Cash loans","F","N",0,135000,360000,38196,360000,"Working","Higher education","Married","House / apartment",-11853,-1314,"Waiters/barmen staff","Business Entity Type 3",0,"Unaccompanied"
1489,0,"Cash loans","F","Y",2,225000,1288350,41692.5,1125000,"Commercial associate","Higher education","Married","House / apartment",-11445,-437,"Core staff","Realtor",0,"Unaccompanied"
1490,1,"Cash loans","M","Y",0,135000,1056447,31018.5,922500,"Pensioner","Higher education","Married","House / apartment",-14981,365243,"","XNA",0,"Unaccompanied"
1491,0,"Cash loans","F","N",0,112500,753840,24448.5,540000,"Pensioner","Secondary / secondary special","Married","House / apartment",-22119,365243,"","XNA",0,"Spouse, partner"
1492,0,"Cash loans","F","N",1,180000,182448,19777.5,157500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-14716,-1854,"Laborers","Business Entity Type 2",0,"Unaccompanied"
1493,0,"Cash loans","M","Y",0,112500,284400,16456.5,225000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23850,365243,"","XNA",NA,"Family"
1494,0,"Cash loans","F","N",1,126000,1350000,39474,1350000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14286,-1560,"High skill tech staff","Self-employed",0,"Unaccompanied"
1495,0,"Cash loans","M","Y",0,72000,760500,22234.5,760500,"Working","Secondary / secondary special","Married","House / apartment",-16519,-695,"Drivers","Government",NA,"Unaccompanied"
1496,0,"Revolving loans","M","Y",0,225000,675000,33750,675000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20280,365243,"","XNA",0,"Unaccompanied"
1497,0,"Cash loans","M","N",0,202500,859500,44014.5,859500,"Working","Higher education","Single / not married","House / apartment",-10814,-2180,"","Business Entity Type 3",0,"Unaccompanied"
1498,0,"Cash loans","F","Y",0,112500,284400,16456.5,225000,"Working","Secondary / secondary special","Married","House / apartment",-18109,-2019,"Core staff","Kindergarten",1,"Unaccompanied"
1499,0,"Cash loans","F","N",0,45000,306000,15543,306000,"Pensioner","Higher education","Married","House / apartment",-18318,365243,"","XNA",0,"Unaccompanied"
1500,0,"Cash loans","F","N",1,180000,1247472,47646,1147500,"Working","Secondary / secondary special","Married","House / apartment",-17281,-2056,"","Other",0,"Unaccompanied"
1501,0,"Cash loans","F","Y",2,121500,9e+05,26446.5,9e+05,"Working","Incomplete higher","Married","House / apartment",-15852,-7774,"Core staff","School",0,"Unaccompanied"
1502,1,"Revolving loans","M","N",0,202500,270000,13500,270000,"Working","Secondary / secondary special","Single / not married","House / apartment",-13195,-381,"Laborers","Business Entity Type 3",0,"Unaccompanied"
1503,0,"Cash loans","M","Y",2,157500,1078200,31653,9e+05,"Working","Secondary / secondary special","Married","House / apartment",-15276,-1184,"Drivers","School",0,"Unaccompanied"
1504,0,"Cash loans","F","N",0,67500,152820,8770.5,135000,"Pensioner","Lower secondary","Separated","House / apartment",-23185,365243,"","XNA",0,"Family"
1505,0,"Cash loans","F","Y",1,81000,161730,14962.5,135000,"Working","Secondary / secondary special","Married","House / apartment",-10925,-2263,"Sales staff","Self-employed",0,"Family"
1506,0,"Revolving loans","F","N",0,90000,247500,12375,247500,"Pensioner","Higher education","Married","House / apartment",-20567,365243,"","XNA",0,"Unaccompanied"
1507,0,"Cash loans","M","Y",0,157500,1019610,33826.5,913500,"Working","Secondary / secondary special","Married","House / apartment",-21229,-103,"Laborers","Business Entity Type 3",0,"Unaccompanied"
1508,0,"Revolving loans","F","N",0,121500,382500,19125,382500,"Pensioner","Secondary / secondary special","Married","House / apartment",-22953,365243,"","XNA",0,"Unaccompanied"
1509,0,"Cash loans","M","N",0,247500,545040,25537.5,450000,"Working","Secondary / secondary special","Single / not married","House / apartment",-14785,-1211,"Laborers","Self-employed",0,"Unaccompanied"
1510,0,"Revolving loans","M","Y",0,90000,202500,10125,202500,"Working","Higher education","Single / not married","With parents",-9980,-602,"Laborers","Industry: type 7",0,"Unaccompanied"
1511,0,"Revolving loans","F","N",0,112500,225000,11250,225000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21442,365243,"","XNA",0,"Unaccompanied"
1512,0,"Revolving loans","F","Y",0,112500,270000,13500,270000,"Working","Higher education","Married","House / apartment",-10035,-492,"High skill tech staff","Business Entity Type 2",0,"Unaccompanied"
1513,0,"Cash loans","M","N",0,135000,148365,9864,135000,"Working","Secondary / secondary special","Single / not married","House / apartment",-15220,-5253,"Laborers","Self-employed",NA,"Unaccompanied"
1514,1,"Cash loans","M","N",1,301500,295668,14377.5,193500,"Working","Secondary / secondary special","Married","House / apartment",-16998,-1292,"Managers","Restaurant",2,"Unaccompanied"
1515,0,"Cash loans","F","N",0,126000,135000,14539.5,135000,"Working","Secondary / secondary special","Married","House / apartment",-11085,-913,"Laborers","Industry: type 9",NA,"Unaccompanied"
1516,0,"Cash loans","M","N",1,211500,675000,32602.5,675000,"Working","Higher education","Married","House / apartment",-13263,-4433,"Laborers","Hotel",0,"Unaccompanied"
1517,0,"Cash loans","M","Y",0,225000,1288350,37800,1125000,"Working","Secondary / secondary special","Married","House / apartment",-14914,-2705,"Laborers","Business Entity Type 3",0,"Unaccompanied"
1518,0,"Cash loans","F","N",1,202500,454500,21865.5,454500,"Working","Higher education","Civil marriage","House / apartment",-11800,-3303,"Accountants","Business Entity Type 3",1,"Family"
1519,0,"Cash loans","M","N",0,67500,134775,5836.5,112500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20650,365243,"","XNA",2,"Unaccompanied"
1520,1,"Cash loans","M","N",0,135000,770913,30001.5,643500,"Working","Secondary / secondary special","Married","With parents",-11059,-1028,"Laborers","Self-employed",NA,"Unaccompanied"
1521,0,"Cash loans","F","Y",1,225000,805536,31945.5,720000,"State servant","Secondary / secondary special","Married","House / apartment",-12632,-3703,"Core staff","Kindergarten",0,"Unaccompanied"
1522,0,"Cash loans","F","N",0,121500,760225.5,34483.5,679500,"Working","Secondary / secondary special","Married","House / apartment",-14265,-3083,"High skill tech staff","Housing",0,"Unaccompanied"
1523,0,"Revolving loans","M","N",1,225000,270000,13500,270000,"Working","Higher education","Married","House / apartment",-14181,-3691,"IT staff","Medicine",0,"Unaccompanied"
1524,0,"Cash loans","F","Y",0,112500,390960,16695,337500,"Working","Secondary / secondary special","Widow","House / apartment",-19339,-734,"","Industry: type 3",0,"Unaccompanied"
1525,1,"Cash loans","F","N",0,112500,296280,14382,225000,"Pensioner","Lower secondary","Separated","House / apartment",-21584,365243,"","XNA",0,"Unaccompanied"
1526,0,"Cash loans","M","Y",0,270000,778500,33115.5,778500,"Working","Secondary / secondary special","Married","House / apartment",-22234,-1506,"Realty agents","Other",0,"Unaccompanied"
1527,0,"Cash loans","F","N",0,202500,625536,26424,540000,"Working","Secondary / secondary special","Married","House / apartment",-17822,-1636,"Laborers","Business Entity Type 3",0,"Family"
1528,0,"Cash loans","F","Y",1,157500,675000,34596,675000,"Working","Higher education","Married","House / apartment",-13872,-2883,"Managers","Bank",0,"Unaccompanied"
1529,0,"Cash loans","M","N",0,306000,450000,35554.5,450000,"Working","Secondary / secondary special","Married","House / apartment",-18054,-589,"Security staff","Security",1,"Unaccompanied"
1530,0,"Cash loans","M","Y",1,247500,1314117,38551.5,1147500,"Working","Secondary / secondary special","Married","House / apartment",-13238,-316,"","Business Entity Type 1",0,"Spouse, partner"
1531,0,"Cash loans","M","Y",0,157500,797557.5,24309,688500,"State servant","Secondary / secondary special","Married","House / apartment",-11603,-3772,"Medicine staff","Medicine",1,"Unaccompanied"
1532,0,"Cash loans","M","N",0,180000,544491,17563.5,454500,"Working","Higher education","Married","House / apartment",-16153,-5593,"Laborers","Self-employed",0,"Unaccompanied"
1533,0,"Cash loans","M","Y",0,180000,1125000,50184,1125000,"Pensioner","Higher education","Married","House / apartment",-15643,365243,"","XNA",0,"Unaccompanied"
1534,0,"Cash loans","M","Y",0,112500,312768,12042,270000,"Working","Secondary / secondary special","Married","House / apartment",-16651,-1812,"Laborers","Industry: type 1",NA,"Family"
1535,0,"Cash loans","F","N",2,180000,970380,28503,810000,"Working","Secondary / secondary special","Married","House / apartment",-13924,-163,"","Business Entity Type 3",0,"Unaccompanied"
1536,0,"Cash loans","F","N",0,360000,825673.5,32872.5,738000,"Working","Secondary / secondary special","Married","House / apartment",-20003,-4722,"Cooking staff","Other",0,"Unaccompanied"
1537,1,"Revolving loans","F","N",3,81000,180000,9000,180000,"Working","Secondary / secondary special","Married","House / apartment",-10201,-1730,"Laborers","Business Entity Type 2",0,"Unaccompanied"
1538,0,"Cash loans","M","N",0,112500,241618.5,24885,229500,"Working","Secondary / secondary special","Married","House / apartment",-16689,-3548,"Drivers","Self-employed",NA,"Unaccompanied"
1539,0,"Cash loans","M","N",1,225000,942300,30528,675000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-16129,-3618,"Drivers","Business Entity Type 3",0,"Unaccompanied"
1540,0,"Cash loans","M","Y",0,180000,251091,27040.5,238500,"State servant","Secondary / secondary special","Civil marriage","Office apartment",-9899,-1913,"Core staff","Military",0,"Family"
1541,0,"Cash loans","M","Y",0,103500,9e+05,26316,9e+05,"Working","Secondary / secondary special","Married","House / apartment",-15424,-152,"Laborers","Industry: type 4",0,"Unaccompanied"
1542,0,"Cash loans","F","N",0,180000,376920,19372.5,270000,"State servant","Higher education","Separated","House / apartment",-20376,-4420,"Core staff","Other",1,"Unaccompanied"
1543,0,"Cash loans","F","N",0,81000,112500,7960.5,112500,"Working","Secondary / secondary special","Married","House / apartment",-14406,-1842,"","Government",1,"Unaccompanied"
1544,1,"Cash loans","M","Y",1,225000,592560,40216.5,450000,"Commercial associate","Incomplete higher","Married","House / apartment",-10081,-789,"Drivers","Transport: type 3",0,"Unaccompanied"
1545,0,"Cash loans","M","Y",1,157500,1003500,29470.5,1003500,"Working","Higher education","Married","House / apartment",-9610,-1498,"IT staff","Business Entity Type 2",0,"Unaccompanied"
1546,0,"Cash loans","F","Y",0,157500,677664,24471,585000,"Working","Secondary / secondary special","Separated","House / apartment",-13111,-698,"Laborers","Business Entity Type 3",0,"Unaccompanied"
1547,0,"Cash loans","F","N",0,67500,675000,19476,675000,"Pensioner","Higher education","Married","House / apartment",-20739,365243,"","XNA",0,"Unaccompanied"
1548,1,"Cash loans","F","N",2,103500,942300,30528,675000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-8867,-1487,"Laborers","Industry: type 4",0,"Unaccompanied"
1549,0,"Cash loans","F","N",0,171000,1272888,37345.5,1111500,"Working","Secondary / secondary special","Married","House / apartment",-16251,-3115,"Accountants","Police",1,"Family"
1550,0,"Cash loans","F","N",1,135000,148365,13738.5,135000,"Working","Secondary / secondary special","Separated","House / apartment",-10573,-906,"Cooking staff","Business Entity Type 3",0,"Unaccompanied"
1551,0,"Cash loans","M","Y",2,180000,555273,18040.5,463500,"Working","Higher education","Married","House / apartment",-13628,-347,"Laborers","Construction",0,"Unaccompanied"
1552,0,"Cash loans","F","N",0,112500,334152,18256.5,270000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-12032,-2296,"Core staff","Self-employed",NA,"Unaccompanied"
1553,0,"Cash loans","M","N",0,202500,1546020,45333,1350000,"Working","Secondary / secondary special","Married","House / apartment",-18485,-3923,"","Medicine",1,"Family"
1554,0,"Cash loans","F","N",0,279000,679500,28786.5,679500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-19516,-10764,"High skill tech staff","Business Entity Type 2",0,"Family"
1555,0,"Cash loans","F","N",0,315000,1125000,106816.5,1125000,"Working","Higher education","Married","House / apartment",-15761,-3064,"","Business Entity Type 3",2,"Family"
1556,0,"Cash loans","F","N",0,90000,840996,24718.5,702000,"Working","Secondary / secondary special","Married","House / apartment",-19875,-1765,"Laborers","Kindergarten",0,"Unaccompanied"
1557,0,"Revolving loans","M","N",1,157500,180000,9000,180000,"Working","Secondary / secondary special","Married","With parents",-11857,-258,"","Business Entity Type 3",0,"Unaccompanied"
1558,0,"Cash loans","M","N",1,180000,432661.5,26275.5,373500,"Working","Lower secondary","Single / not married","House / apartment",-14192,-388,"Drivers","Business Entity Type 3",0,"Unaccompanied"
1559,0,"Cash loans","M","N",1,135000,417024,21451.5,360000,"Working","Secondary / secondary special","Separated","House / apartment",-16598,-445,"Security staff","Security",1,"Unaccompanied"
1560,0,"Cash loans","F","N",0,67500,454500,17608.5,454500,"Pensioner","Secondary / secondary special","Married","House / apartment",-21208,365243,"","XNA",0,"Unaccompanied"
1561,0,"Revolving loans","M","Y",1,112500,157500,7875,157500,"Working","Secondary / secondary special","Separated","House / apartment",-13286,-1378,"Drivers","Business Entity Type 3",0,"Unaccompanied"
1562,0,"Revolving loans","F","N",0,112500,247500,12375,247500,"Working","Secondary / secondary special","Separated","House / apartment",-18726,-349,"Cleaning staff","Business Entity Type 3",0,"Unaccompanied"
1563,0,"Cash loans","M","N",0,94500,398016,31576.5,360000,"Working","Secondary / secondary special","Single / not married","Office apartment",-10489,-2968,"Laborers","Self-employed",0,"Unaccompanied"
1564,0,"Cash loans","F","Y",0,135000,211500,24048,211500,"Pensioner","Secondary / secondary special","Civil marriage","House / apartment",-20346,365243,"","XNA",NA,"Family"
1565,0,"Cash loans","F","N",0,180000,9e+05,26446.5,9e+05,"Commercial associate","Higher education","Single / not married","House / apartment",-20470,-944,"","Industry: type 3",0,"Unaccompanied"
1566,0,"Revolving loans","M","Y",0,180000,180000,9000,180000,"Commercial associate","Secondary / secondary special","Single / not married","With parents",-19459,-226,"Laborers","Trade: type 1",0,"Unaccompanied"
1567,0,"Cash loans","F","Y",0,405000,538389,46336.5,477000,"Working","Higher education","Widow","House / apartment",-19077,-1907,"Core staff","Medicine",0,"Unaccompanied"
1568,0,"Cash loans","M","N",0,180000,1528200,53118,1350000,"Commercial associate","Incomplete higher","Single / not married","Municipal apartment",-15159,-2536,"Drivers","Business Entity Type 3",1,"Unaccompanied"
1569,0,"Cash loans","F","Y",0,225000,1928304,79708.5,1800000,"Working","Secondary / secondary special","Married","House / apartment",-16750,-589,"Accountants","Government",0,"Unaccompanied"
